name,price,old_price,discount
"Hp  Renewed Probook G1,Touch Screen X360,Intel,4GB RAM,128GB SSD, 11.6,-Grey(6MNTHS Warranty)","UGX 498,000","UGX 1,000,000",50%
Refurbished Hp Probook 640 Corei5  12gb Ram 1TB Hdd +Bag,"UGX 665,000","UGX 1,500,000",56%
Latitude 3340/3350 Core I5 8GB RAM 500GB HDD Plus Bag & Mouse Refurbished (6 Months Warranty) - Grey,"UGX 568,000","UGX 990,000",43%
Hp 15s AMD Ryzen 5 15.6 Inch 2.89GHz Processor Speed 8GB RAM 256GB SSD - Silver,"UGX 1,350,000","UGX 1,800,000",25%
"DELL  Latitude 3310 Intel Pentium 4GB RAM 128GB SSD,13-inch ,Win 10-3 Months Warranty,Renewed- Grey/Black","UGX 449,000","UGX 610,000",26%
"Certified Refurbished 14"" EliteBook 840 Core I5, 8GB RAM, 500GB HDD - Silver","UGX 579,000","UGX 1,089,990",47%
"X260/X270 Core I5 6th Gen 8GB Ram, 256GB SSD Plus Free Bag(Renewed ) - Black","UGX 649,000","UGX 1,199,000",46%
"Lenovo Think pad Yoga 11e Touchscreen 11.6"", Intel 500GB HDD, 4GB Ram, And Bag-  Black- (Refurbished)Grade A","UGX 479,900","UGX 750,000",36%
"Latitude 3340/3350, Intel Core I5,16GB RAM, 1000GB(1TB) HDD Free Bag & Mouse,- Refurbished - Dark Grey (6MTHS WRTY)","UGX 799,900","UGX 1,500,000",47%
DELL Renewed Latitude 7390 Core i5 8GB RAM 256GB SSD 13 inches Full HD - Black,"UGX 850,000","UGX 950,000",11%
"Refurbished Latitude Laptop 8GB Ram, 500GB,HDD + Bag , mouse pad And Mouse - Dark grey","UGX 499,700","UGX 1,400,000",64%
"Core i3 6th Gen,4GB RAM,128GB SSD,11.6 Inch Mini Laptop Rugged-Black,Refurbished","UGX 389,000","UGX 700,000",44%
"Ultrabook 11e Mini Laptop, 11.6"",Intel Duo Core 128 GB SSD,4GB Black Plus Free Pouche,and Mouse, Refurbished.","UGX 359,000","UGX 940,000",62%
"Flip E205, 2 in 1 (Tablet and laptop) 11.6-inch Touchscreen x360, Pentium 4GB,128GB Storage, (64GB SSD Plus 64GB SD Card), Dark Blue,Refurbished","UGX 399,000","UGX 7,000,000",94%
"EliteBook 840, Core i5, 16GB Ram, 500GB Hdd,Windows 11 - Renewed-6MONTHS WARRANTY - Black","UGX 649,000","UGX 999,000",35%
DELL Refurbished Latitude 11'' Inch 3180/3190 128GB SSD/4GB RAM Plus Free Laptop HandBag -Dark Grey/ Black (Grade A),"UGX 439,000","UGX 650,000",32%
"DELL Latitude 3190 2-in-1, 11'' inch 3190 Touch X360 128GB SSD/4GB RAM DDR4 (Renewed)","UGX 450,000","UGX 1,050,000",57%
"Refurbrished  Elitebook 820 G3, 12.5 Inch, Core i5  ,6th Gen, 8GBRAM DDR4 , 256GB SSD, Windows 10 Pro - Silver","UGX 739,000","UGX 1,200,000",38%
"Think pad Yoga 11e Touchscreen 11.6"",Intel Celeron 500GB,HDD, 4GB Ram -Black(6MTHS WRTY), Refurbished","UGX 470,000","UGX 999,986",53%
"Hp Stream Probook  11'6 Mini Laptop,Intel, 4GB RAM,128GB Storage(64GB SSD PLUS 64GB SD card)  – Grey- Renewed","UGX 369,000","UGX 600,000",39%
"DELL Latitude 3190 2-in-1, 11'' inch 3190 Touch X360 128GB SSD/4GB RAM DDR4 (Renewed)","UGX 450,000","UGX 1,000,000",55%
Refurbished Latitude 11'' Inch 3180/3190 128GB SSD/4GB RAM -Dark Grey/ Black (Grade A),"UGX 380,000","UGX 830,000",54%
Refurbished Probook 640 Intel Core i5 8gb 500Gb hdd 14 inch-Black Plus Bag and 32 GB Flash,"UGX 570,000","UGX 1,300,000",56%
"Refurbished Probook 430, Duo Core ,8GB RAM, 500GB HDD 14"" - Black","UGX 499,000","UGX 720,000",31%
MacBook Air 11 Inch I5 4GB Ram 128GB 2015 (Refurbished) Silver,"UGX 650,000","UGX 800,000",19%
"Hp Probook 11” Mini, DuoCore,4gb RAM, 500GB HDD Plus free Mouse  - Black Grade A","UGX 469,000","UGX 990,000",53%
"UK Refurbished Intel Core I5 Complete Set, 4GB RAM, 500GB Hard Drive","UGX 435,000","UGX 1,000,000",57%
"11e 11.6"",Mini Laptop, Intel Celeron 128 GB SSD,4GB Black, Refurbished.","UGX 339,000","UGX 690,000",51%
"Latitude 3140 Business Mini Laptop, 4GB Ram, 192 GB SSD 11.6”, Windows 11 Pro,Renewed (3 Months Warranty)-Grey","UGX 399,000","UGX 690,000",42%
"Hp Elitebook 820 G2(12.5-inch,Core I5,8GB RAM,500 GB) - Black Grade A","UGX 569,900","UGX 1,190,012",52%
"Elite Book 840, Core I5, 16GB Ram, 1TB Storage Free Bag And Mouse - Refurbished (Grade A+) - Black (6MTHS WRTY","UGX 759,000","UGX 1,099,000",31%
